offset,Chord,NormalForm,PCsinNormalForm,file,Measure Number,Measure Count
144.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,25,1 1/4
145,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,25,1 1/2
145.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,25,1 3/4
148,<music21.chord.Chord B2>,[0],[11],AlariodelRio_Sol_Sostenido.xml,25,3
148.5,<music21.chord.Chord C#3>,[0],[1],AlariodelRio_Sol_Sostenido.xml,25,3 1/4
149,<music21.chord.Chord A#3>,[0],[10],AlariodelRio_Sol_Sostenido.xml,25,3 1/2
149.5,<music21.chord.Chord E3>,[0],[4],AlariodelRio_Sol_Sostenido.xml,25,3 3/4
152,<music21.chord.Chord F#3 B4>,"[0, 5]","[6, 11]",AlariodelRio_Sol_Sostenido.xml,26,2
152.5,<music21.chord.Chord G#2 B4>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,26,2 1/4
153,<music21.chord.Chord C#3 B4>,"[0, -10]","[11, 1]",AlariodelRio_Sol_Sostenido.xml,26,2 1/2
153.5,<music21.chord.Chord B2 B4>,[0],[11],AlariodelRio_Sol_Sostenido.xml,26,2 3/4
154,<music21.chord.Chord G#2 B4>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,26,3
154.5,<music21.chord.Chord B2 B4>,[0],[11],AlariodelRio_Sol_Sostenido.xml,26,3 1/4
155,<music21.chord.Chord G#3 B4>,"[0, 3]","[8, 11]",AlariodelRio_Sol_Sostenido.xml,26,3 1/2
