offset,Chord,NormalForm,PCsInNormalForm,file,Phrase Boundary,Measure Number,Measure Count
47.375,<music21.chord.Chord F#5 D5 A4 D1 D2 F#4>,"[0, 4, 7]","[2, 6, 9]",Rhapsody 79 2 G minor.mid,,,
48.375,<music21.chord.Chord F#4>,[0],[6],Rhapsody 79 2 G minor.mid,,,
48.875,<music21.chord.Chord D5 D4 A4>,"[0, 5]","[9, 2]",Rhapsody 79 2 G minor.mid,,,
49.125,<music21.chord.Chord G1 G2>,[0],[7],Rhapsody 79 2 G minor.mid,,,
49.25,<music21.chord.Chord D4 G4 B-4>,"[0, 3, 7]","[7, 10, 2]",Rhapsody 79 2 G minor.mid,,,
49.5,<music21.chord.Chord B-2 B-1>,[0],[10],Rhapsody 79 2 G minor.mid,,,
49.625,<music21.chord.Chord B-2>,[0],[10],Rhapsody 79 2 G minor.mid,,,
49.875,<music21.chord.Chord G4 D4>,"[0, 5]","[2, 7]",Rhapsody 79 2 G minor.mid,,,
50.125,<music21.chord.Chord F#4 D3 D4 D2>,"[0, 4]","[2, 6]",Rhapsody 79 2 G minor.mid,,,
50.25,<music21.chord.Chord F#4>,[0],[6],Rhapsody 79 2 G minor.mid,,,
50.5,<music21.chord.Chord F#3 F#2>,[0],[6],Rhapsody 79 2 G minor.mid,,,
50.75,<music21.chord.Chord A4 D4 D5>,"[0, 5]","[9, 2]",Rhapsody 79 2 G minor.mid,,,
50.875,<music21.chord.Chord A4>,[0],[9],Rhapsody 79 2 G minor.mid,,,
51.125,<music21.chord.Chord G2 G3 D4 G4 B-4>,"[0, 3, 7]","[7, 10, 2]",Rhapsody 79 2 G minor.mid,,,
51.25,<music21.chord.Chord D4 G4 B-4>,"[0, 3, 7]","[7, 10, 2]",Rhapsody 79 2 G minor.mid,,,
51.375,<music21.chord.Chord B-3 B-2>,[0],[10],Rhapsody 79 2 G minor.mid,,,
