offset,Chord,Phrase Boundary,Song Beat Number,Measure Number,Measure Beat Number,NormalForm,PCsInNormalForm,GlobalScaleDegrees,HighestPitch,LowestPitch,file,Composer,LocalTonic,LocalMode,LocalSDForm_BassSD,Confidence
28,<music21.chord.Chord B-4 B-5 D4>,,29,10,2,"[0, 4]","[10, 2]","[10, 2]",82,62,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[10, 2]_2",0.794021902698421
28.5,<music21.chord.Chord B-4 B-5 F4>,,29,10,2,"[0, 5]","[5, 10]","[5, 10]",82,65,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[5, 10]_5",0.794021902698421
29,<music21.chord.Chord B-4 B-5 E-4>,,30,10,3,"[0, 5]","[10, 3]","[10, 3]",82,63,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[10, 3]_3",0.7670286316057110
29.5,<music21.chord.Chord B-4 B-5 D4>,,30,10,3,"[0, 4]","[10, 2]","[10, 2]",82,62,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,"[10, 2]_2",0.7670286316057110
30,<music21.chord.Chord G4>,,31,11,1,[0],[7],[7],67,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[7]_7,0.7670286316057110
30.5,<music21.chord.Chord G5 G4>,,31,11,1,[0],[7],[7],79,67,La Cloches Sonne S248 C minor.mid,Liszt,0,minor,[7]_7,0.7670286316057110
31.5,<music21.chord.Chord G5 G4>,,32,11,2,[0],[7],[7],79,67,La Cloches Sonne S248 C minor.mid,Liszt,7,minor,[0]_0,0.6625825744217360
32.5,<music21.chord.Chord G5 G4>,,33,11,3,[0],[7],[7],79,67,La Cloches Sonne S248 C minor.mid,Liszt,3,major,[4]_4,0.6737889820616430
33,<music21.chord.Chord G5>,,34,12,1,[0],[7],[7],79,79,La Cloches Sonne S248 C minor.mid,Liszt,3,major,[4]_4,0.7815081368542760
33.5,<music21.chord.Chord G5>,2,34,12,1,[0],[7],[7],79,79,La Cloches Sonne S248 C minor.mid,Liszt,3,major,[4]_4,0.7815081368542760
