offset,Chord,NormalForm,PCsinNormalForm,file,PhraseBoundary,MeasureNumber,MeasureCount
79.0,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
79.5,<music21.chord.Chord C5 E-4>,"[0, 3]","[0, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
80.0,<music21.chord.Chord F#4 A4 C5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
80.5,<music21.chord.Chord F#4 A4 C5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
81.0,<music21.chord.Chord F#4 A4 C5 E-4>,"[0, 3, 6, 9]","[0, 3, 6, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
81.5,<music21.chord.Chord F#4 A4 C5 G#3>,"[0, 2, 3, 6]","[6, 8, 9, 0]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
82.0,<music21.chord.Chord F#4 A4 C5 E-4 G#3>,"[0, 3, 6, 8, 9]","[0, 3, 6, 8, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
82.5,<music21.chord.Chord C5 G#3 E-4>,"[0, 4, 7]","[8, 0, 3]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
83.0,<music21.chord.Chord F#4 A4 C5 G#3 E-4>,"[0, 3, 6, 8, 9]","[0, 3, 6, 8, 9]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
83.5,<music21.chord.Chord C#5 F#4 A4 C#4 G#3>,"[0, 2, 3, 7]","[6, 8, 9, 1]",Studi-Poetici Rimprovero Op53No12 G# Minor.mid,,,
